name,lat,lon,ele,time,cmt,sym,desc
P06,-44.76743404,168.00247899,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P07,-44.76779404,168.00223399,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P08,-44.76654904,168.00178699,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P09,-44.76609304,168.00028899,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P10,-44.76533805,168.00024999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P11,-44.76455104,167.99978399,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P12,-44.76471108,168.00013713,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P13,-44.76435104,168.00126299,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P14,-44.76417105,168.00141599,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P15,-44.76396505,168.00182099,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P16,-44.76372404,168.00236099,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P17,-44.76367204,168.00274799,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P18,-44.76335604,168.00280199,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P19,-44.76305504,168.00305199,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P20,-44.76640805,168.00107299,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P21,-44.76345704,168.00357999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P22,-44.76455605,167.99986799,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P23,-44.76481005,168.00041999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P24,-44.76420304,168.00129399,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P25,-44.76296004,168.00289999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P26,-44.76219104,168.00555899,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P27,-44.76270505,168.00622599,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P28,-44.76620104,168.00556399,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P29,-44.76785305,168.00279899,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P30,-44.76826004,168.00265999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P31,-44.76337004,168.00347999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P32,-44.76349004,168.00357999,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
