name,latitude,longitude,elevation,time,comment,symbol,description
P25,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P26,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P27,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P28,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P29,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P30,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P31,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P32,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
B02,-44.64903082,167.93520235,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B03,-44.64984778,167.93571933,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B04,-44.65052627,167.93624848,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B05,-44.65177370,167.93570334,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B06,-44.65301464,167.93609933,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B08,-44.65803042,167.93513437,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B09,-44.65807069,167.93481085,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B10,-44.65818141,167.93441639,blah,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B11,-44.65838305,167.93409431,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B12,-44.65856239,167.93363741,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B13,-44.65725233,167.93562394,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B14,-44.65629043,167.93611455,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B15,-44.65511904,167.93648950,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B16,-44.65430959,167.93641132,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B17,-44.65321863,167.93628232,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B18,-44.65208268,167.93589433,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B19,-44.65102973,167.93571133,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B20,-44.65016377,167.93593833,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B21,-44.64936881,167.93526434,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B22,-44.64767588,167.93449137,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B23,-44.66004433,167.93357942,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B24,-44.66046031,167.93371141,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
BAC01,-44.64804358,167.93478021,blah,2020-10-21T23:00:00.0000000,DOC 150 Double,Pin Red,Bowen
C01,-44.77017059,168.00210711,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C02,-44.76578477,167.99732027,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C02,-44.76578477,167.99732027,blah,2019-03-27T23:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C03,-44.76901264,168.00233911,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C04,-44.76765970,168.00542903,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C05,-44.76942662,168.00209312,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
C06,-44.76692172,168.00016718,blah,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Black,Cat Line
