name,name-new," latitude"," longitude"," elevation"," time"," comment"," symbol"," description"," latitude-new"," longitude-new"," time-new",name," Type-template",Comment-template
DC02,DC02,-45.4583019828968,167.150723111771," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.458405,167.150723,"2021-06-24 03:04:20+00:00",DC02,"DOC150 Double",""
DC03,DC03,-45.4591023803932,167.150883104764," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.458862,167.150842,"2021-07-03 02:02:57+00:00",DC03,"DOC150 Double",""
DC04,DC04,-45.4593873532892,167.151173328389," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.459182,167.150936,"2021-07-03 02:00:51+00:00",DC04,"DOC150 Double",""
DC05,DC05,-45.4597114114274,167.151523458467," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.459404,167.151067,"2021-07-03 01:59:17+00:00",DC05,"DOC150 Double",""
DC05,DC05,-45.4597114114274,167.151523458467," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.459716,167.15152,"2021-06-24 03:10:23+00:00",DC05,"DOC150 Double",""
DC06,DC06,-45.4603001745889,167.151769380315," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.459885,167.151132,"2021-07-03 01:55:41+00:00",DC06,"DOC150 Double",""
DC06,DC06,-45.4603001745889,167.151769380315," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.460109,167.151288,"2021-07-03 01:45:23+00:00",DC06,"DOC150 Double",""
DC07,DC07,-45.4605746863435,167.151856028527," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.460098,167.15143,"2021-07-03 01:39:32+00:00",DC07,"DOC150 Double",""
DC07M,"",-45.4606120753796,167.151838211578," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",DC07M,"DOC150 Double",""
DC08,DC08,-45.4606406940994,167.151388670925," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.460645,167.151386,"2021-06-24 03:10:23+00:00",DC08,"DOC150 Double",""
DC09,DC09,-45.4612794589841,167.151731743465," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.460882,167.151617,"2021-07-03 01:18:51+00:00",DC09,"DOC150 Double",""
DC10,DC10,-45.4614445583272,167.151791367391," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.46137,167.151822,"2021-07-03 01:15:55+00:00",DC10,"DOC150 Double",""
DC11,DC11,-45.4618758688883,167.151951294989," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.461906,167.151933,"2021-07-03 01:10:50+00:00",DC11,"DOC150 Double",""
DC12,DC12,-45.4628905146583,167.152076290615," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.462664,167.152315,"2021-07-03 00:58:13+00:00",DC12,"DOC150 Double",""
DC13,DC13,-45.4627384273105,167.15279565214," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.462743,167.152793,"2021-06-24 03:10:24+00:00",DC13,"DOC150 Double",""
DC14,"",-45.4627606503114,167.15322828916," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
DC15,"",-45.463434379073,167.153375878073," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
DCA01,DCA01,-45.4577749710729,167.15069747347," None"," None",A24," Navaid Blue"," NEW",-45.457782,167.150685,"2021-06-24 03:10:23+00:00",DCA01,A24,"Foreshore <> hostel and main wharf"
DCA02,DCA02,-45.4582996440606,167.150710724206," None"," None",A24," Navaid Blue"," NEW",-45.458306,167.150707,"2021-06-24 03:10:24+00:00",DCA02,A24,""
DCA02,DCA02,-45.4582996440606,167.150710724206," None"," None",A24," Navaid Blue"," NEW",-45.458306,167.15072,"2021-06-24 03:10:23+00:00",DCA02,A24,""
DCA03,DCA03,-45.4591062845831,167.150880862812," None"," None",A24," Navaid Blue"," NEW",-45.458783,167.151054,"2021-07-03 02:03:27+00:00",DCA03,A24,""
DCA03,DCA03,-45.4591062845831,167.150880862812," None"," None",A24," Navaid Blue"," NEW",-45.459107,167.15088,"2021-06-24 03:10:23+00:00",DCA03,A24,""
DCA04,DCA04,-45.4593951713353,167.151172413646," None"," None",A24," Navaid Blue"," NEW",-45.459226,167.150932,"2021-07-03 02:01:21+00:00",DCA04,A24,""
DCA05,DCA05,-45.459710774735,167.151520422528," None"," None",A24," Navaid Blue"," NEW",-45.459715,167.151508,"2021-06-24 03:10:24+00:00",DCA05,A24,""
DCA06a,"",-45.4602966696788,167.151798089406," None"," None",A24," Navaid Blue"," NEW","","","",DCA06a,A24,""
DCA06b,"",-45.4602988317379,167.151840171622," None"," None",A24," Navaid Blue"," NEW","","","",DCA06b,A24,""
DCA07a,"",-45.4606120109828,167.15190921731," None"," None",A24," Navaid Blue"," NEW","","","",DCA07a,A24,""
DCA07b,"",-45.4606488450498,167.151930780376," None"," None",A24," Navaid Blue"," NEW","","","",DCA07b,A24,""
DCA08,DCA08,-45.4606452943843,167.151398084364," None"," None",A24," Navaid Blue"," NEW",-45.460645,167.151386,"2021-06-24 03:10:24+00:00",DCA08,A24,""
DCA09,DCA09,-45.4612879538871,167.151737554955," None"," None",A24," Navaid Blue"," NEW",-45.461062,167.15179,"2021-07-03 01:18:01+00:00",DCA09,A24,""
DCA10,DCA10,-45.4614449764096,167.151780494207," None"," None",A24," Navaid Blue"," NEW",-45.461432,167.151982,"2021-07-03 01:13:22+00:00",DCA10,A24,""
DCA11,DCA11,-45.4618835322757,167.151971917957," None"," None",A24," Navaid Blue"," NEW",-45.461828,167.151992,"2021-07-03 01:07:31+00:00",DCA11,A24,""
DCA12,DCA12,-45.4628784073185,167.152097166501," None"," None",A24," Navaid Blue"," NEW",-45.462655,167.152482,"2021-07-03 01:00:55+00:00",DCA12,A24,""
DCA13,DCA13,-45.4627353111095,167.152788945965," None"," None",A24," Navaid Blue"," NEW",-45.462742,167.15278,"2021-06-24 03:10:24+00:00",DCA13,A24,""
DCA14,"",-45.4627775972318,167.153229476128," None"," None",A24," Navaid Blue"," NEW","","","",DCA14,A24,""
DCA15,"",-45.463441862064,167.153363655091," None"," None",A24," Navaid Blue"," NEW","","","",DCA15,A24,""
DCR01,DCR01,-45.4574316030971,167.150847952353," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.457439,167.150836,"2021-06-24 03:10:24+00:00",DCR01,"DOC200 Single","DOC line uphill above wharves"
DCR02,DCR02,-45.4570115543649,167.150749550531," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.45702,167.150738,"2021-06-24 03:10:23+00:00",DCR02,"DOC200 Single","Mesh loose"
DCR03,DCR03,-45.4566762864839,167.150444092822," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.456681,167.150441,"2021-06-24 03:10:23+00:00",DCR03,"DOC200 Single","GPS no 7, new disk"
