name, latitude, longitude, elevation, time, comment, symbol, description
BPT02,-45.462147,167.152094,20.708523,2021-03-01 18:41:54+00:00, Trapinator, Pin Green,Line 7
BPT03,-45.459134,167.150921,19.401604,2021-03-01 18:35:24+00:00, Trapinator, Pin Green,Line 7
BPT04,-45.460451,167.151384,17.093588,2021-03-01 18:38:35+00:00, Trapinator, Pin Green,Line 7
BPT05,-45.4658,167.158333,35.897243,2021-03-01 19:06:46+00:00, Trapinator, Pin Green,Line 7
BPT06,-45.466609,167.158812,31.37886,2021-03-01 19:08:29+00:00, Trapinator, Pin Green,Line 7
BPT07,-45.467704,167.159761,21.857111,2021-03-01 19:10:20+00:00, Trapinator, Pin Green,Line 7
BPT08,-45.464882,167.158134,46.232666,2021-03-01 19:03:24+00:00, Trapinator, Pin Green,Line 7
BPT09,-45.468211,167.159905,17.120449,2021-03-01 19:11:35+00:00, Trapinator, Pin Green,Line 7
BPT10,-45.469326,167.160425,15.682059,2021-03-01 19:15:01+00:00, Trapinator, Pin Green,Line 7
DC01,-45.457751196271,167.15069071896, None, None,DOC150 Double, Navaid Red, NEW
DC02,-45.4583019828968,167.150723111771, None, None,DOC150 Double, Navaid Red, NEW
DC03,-45.4591023803932,167.150883104764, None, None,DOC150 Double, Navaid Red, NEW
DC04,-45.4593873532892,167.151173328389, None, None,DOC150 Double, Navaid Red, NEW
DC05,-45.4597114114274,167.151523458467, None, None,DOC150 Double, Navaid Red, NEW
DC06,-45.4603001745889,167.151769380315, None, None,DOC150 Double, Navaid Red, NEW
DC07,-45.4605746863435,167.151856028527, None, None,DOC150 Double, Navaid Red, NEW
DC07M,-45.4606120753796,167.151838211578, None, None,DOC150 Double, Navaid Red, NEW
DC08,-45.4606406940994,167.151388670925, None, None,DOC150 Double, Navaid Red, NEW
DC09,-45.4612794589841,167.151731743465, None, None,DOC150 Double, Navaid Red, NEW
DC10,-45.4614445583272,167.151791367391, None, None,DOC150 Double, Navaid Red, NEW
DC11,-45.4618758688883,167.151951294989, None, None,DOC150 Double, Navaid Red, NEW
DC12,-45.4628905146583,167.152076290615, None, None,DOC150 Double, Navaid Red, NEW
DC13,-45.4627384273105,167.15279565214, None, None,DOC150 Double, Navaid Red, NEW
DC14,-45.4627606503114,167.15322828916, None, None,DOC150 Double, Navaid Red, NEW
DC15,-45.463434379073,167.153375878073, None, None,DOC150 Double, Navaid Red, NEW
DCA01,-45.4577749710729,167.15069747347, None, None,A24, Navaid Blue, NEW
DCA02,-45.4582996440606,167.150710724206, None, None,A24, Navaid Blue, NEW
DCA03,-45.4591062845831,167.150880862812, None, None,A24, Navaid Blue, NEW
DCA04,-45.4593951713353,167.151172413646, None, None,A24, Navaid Blue, NEW
DCA05,-45.459710774735,167.151520422528, None, None,A24, Navaid Blue, NEW
DCA06a,-45.4602966696788,167.151798089406, None, None,A24, Navaid Blue, NEW
DCA06b,-45.4602988317379,167.151840171622, None, None,A24, Navaid Blue, NEW
DCA07a,-45.4606120109828,167.15190921731, None, None,A24, Navaid Blue, NEW
DCA07b,-45.4606488450498,167.151930780376, None, None,A24, Navaid Blue, NEW
DCA08,-45.4606452943843,167.151398084364, None, None,A24, Navaid Blue, NEW
DCA09,-45.4612879538871,167.151737554955, None, None,A24, Navaid Blue, NEW
